"","PC_1","PC_2","PC_3","PC_4","PC_5","CellType"
"D101_5",5.24139163845689,-8.72916643572359,-1.68368920647922,-1.16666845406496,-0.651775015354268,"gamma"
"D101_7",8.11127724835826,11.2779458040363,-5.50748876632029,-13.8269771738613,-3.71608420483775,"acinar"
"D101_10",7.87055529032882,-7.95986535535472,-1.92803562504069,-2.71113065776333,1.7025612199652,"alpha"
"D101_13",5.36942712001429,-8.25980666303884,-1.30333643931546,-1.02014245672939,2.31487763152848,"delta"
"D101_14",2.42873563723855,-7.67072439169361,-2.12008345122371,-2.13459961538503,-1.69913152094318,"beta"
"D101_17",6.2117495754839,8.48152498791059,1.28260479886151,8.29100109761494,0.0345628402680421,"ductal"
"D101_21",-1.91510651288972,2.36085470720442,22.2104901666958,-0.318553290072243,-1.33872543441662,"endothelial"
"D101_22",4.27921043953201,-7.61100808814061,-0.839934704907719,-0.768796536117037,-0.55835150873722,"delta"
"D101_25",-0.571648059964818,-8.71570474047882,-0.994275194976092,-1.87714169997993,-2.50705553295918,"alpha"
"D101_27",2.24100814130533,4.46569723335968,0.486869178318426,6.98415866701752,-1.16820103012932,"ductal"
"D101_29",-0.584144258592619,6.37891993920811,1.88634897882576,11.0612096042078,-2.32401229879066,"ductal"
"D101_31",0.202042059622294,-5.84106778349298,-0.938505632310161,0.921154229232476,-1.12370032413786,"beta"
"D101_35",0.258864020338045,-4.21722994675198,-0.503908857422622,-1.30986238706999,0.644877376652259,"beta"
"D101_37",1.75718809031372,8.95718039023973,0.7822831968336,10.348233974741,-2.15178827939247,"ductal"
"D101_43",2.78265389452509,-8.21645652584507,-1.46425041517937,-1.81779972762145,-0.987056117594991,"gamma"
"D101_48",4.02587048518029,4.55408411501811,44.0578259155311,-11.6579621397561,-0.869829566327775,"activated_stellate"
"D101_50",1.08657480577619,9.64432824769898,-4.31436703143565,-8.05558558055259,-4.01760311506699,"acinar"
"D101_51",5.76477577108213,12.4027150784331,-4.2319792189733,-7.89576566464879,-4.11894861179594,"acinar"
"D101_52",1.49495858940678,10.4134318866768,-0.334655698142461,0.297493648089148,-2.81556631472513,"acinar"
"D101_53",-1.81338806352779,9.24846127214087,3.85859106183327,5.79599277068682,-3.85263513702815,"ductal"
"D101_66",1.92260123161754,12.473496135907,-2.53687395500082,-7.69634339257121,-3.95118541382611,"alpha"
"D101_69",0.664774762350845,9.69256001294025,3.00581238440932,15.1214257075107,-0.569157836086214,"alpha"
"D101_72",0.795200682564698,4.45852844856121,0.584131404877838,8.57050483488932,-1.74564090670639,"ductal"
"D101_73",-19.0416558120875,-5.09553216541969,-0.84227205976388,-0.736212379342773,-12.8391662864636,"beta"
"D101_74",4.75587882898702,7.95596580972443,-2.97542053472156,-6.14301895585186,-3.1350525843659,"acinar"
"D101_81",3.32229801002284,-8.73239789057203,-2.07727820700055,-2.13702375853956,-1.32069514352233,"alpha"
"D101_82",2.4447685184997,11.2352714204245,-2.10548782632762,2.13745347806752,-1.84279161056655,"acinar"
"D101_84",6.25745151164547,-9.5564893821454,-1.94878519007796,-2.62869076152683,0.0857429426419576,"alpha"
"D101_89",6.55054778808298,-8.74428171893032,-1.32340967646227,-2.41886030250724,1.98309614928582,"beta"
"D101_93",2.22513393997659,-7.80782381439229,-0.977229649475245,-1.6875257832339,-2.47531806023248,"gamma"
"D101_95",6.58584252526161,-8.94168332542414,-2.05190011498472,-3.66384068637458,1.80274097673921,"alpha"
"D102_1",1.57436381521519,4.80515886358994,1.37050760027082,10.8809976934505,-0.57071739912665,"ductal"
"D102_4",0.0460079087195361,-8.87663865389167,-1.52879380141976,-0.847072424208144,-3.69419782500608,"gamma"
"D102_7",-11.5348388510519,-10.85089630688,-2.28180857090175,-0.628454939835341,-7.01304461308947,"beta"
"D102_11",1.26191388261873,-8.97912496957009,-1.53596787010319,-1.87955536872573,-1.11820842784837,"beta"
"D102_17",-0.604368770908283,-9.34412922338873,-1.32740251728505,-1.39441957975852,-0.164019216096895,"delta"
"D102_18",-10.4845727921588,-11.3712599209913,-1.23379612139226,-1.79693276107118,-5.02777643235006,"beta"
"D102_21",2.91633420233495,-0.175464356592825,15.1304459801206,0.00828706469300031,-1.09244785464814,"schwann"
"D102_24",2.61824724827655,-8.08889312847901,-1.74367758188937,-1.59175871225028,0.532280256282026,"beta"
"D102_25",-2.87313181861544,-10.1013381204703,-0.0727281030880878,-0.94202909112447,-2.09348630067153,"beta"
"D102_26",4.41715719041024,9.47696778133139,-5.60386177346745,-5.43248070431585,-4.72657273972677,"acinar"
"D102_39",1.08540960829702,-9.85202834263402,-1.39874218859146,-1.86496995261654,-0.779744060095425,"beta"
"D102_45",-6.86915264018154,-7.61653610474827,-1.62325088424129,1.21898628495865,-5.03485365255358,"beta"
"D102_50",1.27177121337193,-8.33440958266423,-1.79669823266947,-2.8513267787969,0.590314394630692,"delta"
"D102_51",2.94117327699283,10.7480916699753,-4.84852389696446,-10.5288196461914,-6.38738557466679,"acinar"
"D102_54",1.02344043374037,11.7306227996748,-4.55760828011497,-7.25666931487752,-5.64507438643696,"acinar"
"D102_55",-6.67377758358657,-9.70080524942497,-1.27929169048033,-0.827091483292112,-4.54833755271976,"beta"
"D102_58",-2.49310365828533,-8.30285860349265,-1.19846431105001,-0.988848929720089,-3.49058392391818,"beta"
"D102_59",-1.21545785213898,-8.73580161221265,-1.07111586402326,-1.76915376968369,-2.06526770496792,"beta"
"D102_61",-10.5887553054204,-8.04702170338339,-0.559428771788121,-0.739717410297463,-3.94810914259635,"delta"
"D102_63",1.88990115078574,-9.59372831035525,-1.19084470341889,-1.17581399129081,-0.587565102867213,"beta"
"D102_64",-4.00484715152305,5.51926261917732,2.04787023861511,12.8930127093025,-3.64063668566427,"ductal"
"D102_66",0.665542786043276,-10.9313343998402,-2.39113938228791,-1.99164043357224,0.0168927912045059,"beta"
"D102_68",-7.30245492628818,-8.90103696670293,-1.5451542031569,-2.74107656515844,-6.28286150176977,"alpha"
"D102_69",2.31753862066201,11.8213519299618,-4.45515937195273,-5.31419960868611,-4.59117291406602,"acinar"
"D102_71",4.0347925202672,10.7706852718811,-5.00020218605396,-7.78783609100584,-4.7754051945323,"acinar"
"D102_73",-4.8504367062339,5.3641595761311,-0.283756837169285,10.4461532121761,-3.8100373653356,"ductal"
"D102_76",-2.85329073668556,12.2814682176159,-5.22940828114058,-4.63579191145393,-7.60378125486546,"acinar"
"D102_78",3.40406055738014,1.8150685861581,3.37801361095747,8.48505917782692,-0.38537364199366,"alpha"
"D102_79",2.31510309019709,5.75801127649312,0.455337500335437,12.3080627561685,-0.0456340879416702,"ductal"
"D102_87",-1.39611215050416,4.1423240430817,0.700361781794966,11.1843830472314,-2.51769869778415,"ductal"
"D102_91",10.4602459077026,9.870956311344,-6.62509504786083,-12.0005017784634,-2.81659740451143,"acinar"
"D102_93",4.56035637516697,-12.1646302116205,-2.00973565760949,-2.41383428396282,-2.4169449486108,"alpha"
"D102_96",-4.26820288997332,-10.0037993781391,-2.26785604156687,-1.33118209322517,-2.83685049265665,"beta"
"D10631_2",5.04390504199409,1.97606939877425,4.70526888281135,6.43876139621303,1.10116882706773,"ductal"
"D10631_3",-3.4613229591896,0.973951733616854,0.403996716487426,9.32173677540902,-4.54329895602068,"ductal"
"D10631_10",-27.814951144233,2.53793311956018,-3.48238630393607,-2.95279766404436,-17.4807332946748,"alpha"
"D10631_15",-5.50706566059562,9.41737684712051,-2.41454010678988,-0.603655645635054,-8.75748937839697,"acinar"
"D10631_17",4.80917126300998,12.6256905637134,-6.09030824985219,-9.17034705683359,-5.12998962727333,"acinar"
"D10631_24",-7.00876690018188,4.07323142237402,3.71409233542444,10.8025135615868,-4.18021464031881,"ductal"
"D10631_29",-1.87978244640526,9.94880958673049,-4.27981838932409,-7.46940073245292,-7.02710227256849,"alpha"
"D10631_34",-89.0454932640464,-7.41563988797633,-0.213672997059974,0.940905482475027,-29.665308490579,"alpha"
"D10631_38",-6.96062313201969,6.0919411035684,-1.85959188861834,-1.32557433767131,-8.35204841967432,"acinar"
"D10631_45",-0.415973523870368,4.67468079491243,0.961270084729569,11.6065249742633,-3.19892526114279,"ductal"
"D10631_48",-10.5778718019214,8.76220465656391,-1.81072893579091,0.990082379766,-11.1074205688599,"acinar"
"D10631_50",-3.14724826237862,4.89282780289854,-1.0157436538824,1.4503922142541,-5.31193627777436,"acinar"
"D10631_53",6.28667938504628,12.4775540997573,-6.28030962770292,-10.6262176030114,-4.21406117973413,"acinar"
"D10631_54",6.29921590402277,12.746839335355,-5.04883479094615,-9.36338810523097,-3.14526515435569,"acinar"
"D10631_56",-12.782605511274,5.17610546190525,1.1412392172727,14.1164935527899,-8.81583693233431,"ductal"
"D10631_57",6.28096245670439,10.109785604225,-3.58856524470203,-6.0544037062501,-3.27695623008972,"acinar"
"D10631_61",5.11388684998049,-11.2218426295312,-1.62083927842718,-2.98699315099524,-0.979900557932773,"alpha"
"D10631_63",1.69233767587025,4.35915338914304,1.58822294376046,11.9739374043052,-2.83700246543596,"ductal"
"D10631_65",2.62211564285363,4.86232536200852,0.547121604825567,10.9676518058038,-1.60690316990826,"ductal"
"D10631_66",-6.23081887436187,9.08572681053927,-2.54929415554733,1.78096707092096,-7.63673151639633,"acinar"
"D10631_67",4.31192849590482,8.83031751394654,-3.85220110306106,-2.4785053986013,-2.92908379529875,"acinar"
"D10631_68",-9.08205587654095,6.41032795813715,1.2674285828057,7.05710440983387,-8.99006392890228,"ductal"
"D10631_69",-8.34604379758385,10.7517906014818,-4.28801037310139,-5.89233738053707,-10.6288157797523,"acinar"
"D10631_70",-10.7643309738906,3.3118541802609,57.4118160003992,-13.6142152788472,-7.5091124572636,"activated_stellate"
"D10631_76",-1.32503887686645,6.79063352132244,0.76979042289572,12.5214010072157,-3.41068442709585,"ductal"
