"","PC_1","PC_2","PC_3","PC_4","PC_5","CellType"
"D28-1_1",8.68681701685636,-0.200085528926659,1.05995029688258,0.0111171716374411,-3.48856589151791,"alpha"
"D28-1_2",-25.0205273316532,-23.0922856014824,-16.876134041947,67.1339941121563,38.856918829891,"endothelial"
"D28-1_3",7.30665666629962,-0.0774640127340745,-0.832969980345822,-0.75077613565366,1.40846623808668,"delta"
"D28-1_4",9.97535358237798,-2.13153680974809,-3.38257986897667,-1.32739855307973,6.01001614006845,"beta"
"D28-1_5",-21.4379775480541,18.1141669323375,-3.03024274441814,-0.165044510521877,-1.3730619575988,"ductal"
"D28-1_13",-27.0939909545341,20.9475434157075,-15.902477985903,-4.07162668913972,-1.98331928339401,"ductal"
"D28-1_15",9.27042704312856,-0.693835947819353,0.819096519318457,-0.0837136191095246,-3.73217930536658,"alpha"
"D28-1_17",8.3720297788,-0.0168805686737106,-0.522795679116593,0.0613759983350298,-3.08988793359504,"alpha"
"D28-1_26",-22.6151591777652,-20.8818989883622,-15.6167813802322,56.6847779248486,33.4184202057312,"endothelial"
"D28-1_29",7.98755421689323,-0.353671978517465,1.67469863241546,0.736493380288266,-3.81973861240019,"alpha"
"D28-1_30",9.34853508544004,-0.923066639479955,1.6301096395969,0.378989287735378,-3.82097313939803,"alpha"
"D28-1_37",-16.706061520719,16.4619331361107,16.518218007416,2.98351033443955,1.67261659210677,"acinar"
"D28-1_38",-18.2221411245746,17.3358454591131,10.4001433206972,0.299710109353657,2.1099790234594,"acinar"
"D28-1_39",9.44814076247449,-0.483822026310425,1.53567686020457,0.378296815703809,-2.75486201544873,"alpha"
"D28-1_40",9.65256634650051,-0.134216924651959,0.021932410134359,-0.329039905827564,-3.64750594646862,"alpha"
"D28-1_41",8.16109058768682,-0.0815295552966577,0.89227190477247,0.852500374946252,-3.43301198965133,"alpha"
"D28-1_43",3.8453099272885,-0.974406238835429,0.054256204215521,-0.588135400967654,3.96415448330019,"beta"
"D28-1_49",-27.1243085905802,15.3770009739878,-17.9259074508087,-5.11896212957548,-0.399096539605362,"ductal"
"D28-1_50",-16.4109048954717,16.0028334915667,16.5796631764542,2.57832495603235,1.3660530227398,"acinar"
"D28-1_51",9.28589559657924,-0.554662538895711,1.37448637269826,0.16242655697215,-3.29461865883349,"alpha"
"D28-1_52",-26.9831770735709,19.7585981704028,-12.8706369842833,-3.7828339359176,-1.6545814950669,"ductal"
"D28-1_55",-16.5489291300862,15.4413406100441,14.2442557110073,2.67611326815398,2.12145125947518,"acinar"
