"","PC_1","PC_2","PC_3","PC_4","PC_5","CellType"
"human1_lib1.final_cell_0001",-5.63546698343593,13.1357381800939,16.3353469417648,3.88242017474433,-0.351036445722946,"acinar"
"human1_lib1.final_cell_0002",-8.23463101933901,14.7836815757721,12.9201404128012,2.50665454747772,-0.880646129562883,"acinar"
"human1_lib1.final_cell_0003",-2.28401571356126,9.70620795317654,15.2544448887661,3.22774232546266,-0.332102749070995,"acinar"
"human1_lib1.final_cell_0004",-7.772331743456,13.5658009342596,12.3713292790229,2.03087899979657,-0.38159303508105,"acinar"
"human1_lib1.final_cell_0005",-5.90490753147495,11.2631723221112,10.1738977346971,2.28327341267011,-0.383946903878386,"acinar"
"human1_lib1.final_cell_0006",-4.57003166945295,12.0800402423073,15.2638889028872,3.19191946758791,-0.497860364937924,"acinar"
"human1_lib1.final_cell_0007",6.89917041131301,-1.64371997501233,-1.89408276573388,-0.867806170294799,-0.439125289834049,"beta"
"human1_lib1.final_cell_0008",-4.81793535682801,12.4097927349894,15.0990660385246,2.97255399991928,-0.211395254010865,"acinar"
"human1_lib1.final_cell_0009",-8.62031106258324,12.8623917066341,11.2602578473606,1.69862212253212,-0.749520374544559,"acinar"
"human1_lib1.final_cell_0010",-6.28480937593889,13.5590463992041,16.2503598502204,3.52742329547671,-0.138538651678182,"acinar"
"human1_lib1.final_cell_0011",-6.02020350620714,13.3947043738487,13.4559524419463,2.46004015934145,0.0286333595667719,"acinar"
"human1_lib1.final_cell_0012",-2.87053004166716,12.6451108414358,18.4606322728805,3.94048940696824,-0.0244528360672988,"acinar"
"human1_lib1.final_cell_0013",7.09419958600923,-2.05701515279759,-1.00657995314433,-0.451071846502063,-0.762778143448544,"delta"
"human1_lib1.final_cell_0014",6.29980108442011,-0.803793257770386,-1.87236662899309,-0.27105138531196,-0.754562691306283,"delta"
"human1_lib1.final_cell_0015",5.89094863547156,-1.84175772565192,-0.741134281696824,-0.308126876141774,0.305474349147294,"beta"
"human1_lib1.final_cell_0016",-32.2893582816576,-29.0573334602711,7.67537511201444,-16.9920663668299,-3.50206749336285,"activated_stellate"
"human1_lib1.final_cell_0017",7.54395349553842,-2.89525253521231,-1.54429434738234,-0.922546986511515,-0.652790764857093,"beta"
"human1_lib1.final_cell_0018",-7.29147683249214,13.9568375892728,15.8204577287786,2.79116657516786,-0.199194625982315,"acinar"
"human1_lib1.final_cell_0019",-22.1425632582148,11.4483898893554,-12.7500452329572,-4.08521551314494,-1.90954455743583,"ductal"
"human1_lib1.final_cell_0020",8.94644614287274,-2.57323580572975,-1.27412768178115,-0.935138092101212,-0.766177148420525,"beta"
"human1_lib1.final_cell_0021",9.09464270133875,-2.63891208728165,-1.31380701386264,-0.286631602280614,0.184773386039082,"beta"
"human1_lib1.final_cell_0022",7.20393567108242,-1.42726599264456,-1.05740447062003,-0.61021604909261,0.796184847381829,"alpha"
"human1_lib1.final_cell_0023",-7.50831190836493,3.85678306820312,-8.64829771387993,-3.39368003603676,-1.73645576513155,"ductal"
"human1_lib1.final_cell_0024",9.08238506347224,-2.75370071772557,-1.79405101323842,-0.739900233927239,-0.478436739053904,"beta"
"human1_lib1.final_cell_0025",7.41733471433137,-1.76775463573497,-1.04350333885947,-0.221234186440842,-0.77768580885214,"delta"
"human1_lib1.final_cell_0026",7.6367457906655,-1.92530994664935,-1.0444144666075,-0.0462004077715864,0.0191051526271588,"alpha"
"human1_lib1.final_cell_0027",9.32714011360802,-1.67922142204725,-0.99846009250649,-0.879797315096984,-1.29162126701877,"beta"
"human1_lib1.final_cell_0028",-11.2302516080614,13.9479371393279,9.891136384158,1.16099490001454,-0.12029049973824,"acinar"
"human1_lib1.final_cell_0029",-2.86235274669121,12.7497694820858,19.6174488790489,4.25198481587425,0.24798738617431,"acinar"
"human1_lib1.final_cell_0030",8.7595856213833,-2.31876743497291,-1.15174907203724,-1.07712155549078,-1.11872429689341,"beta"
"human1_lib1.final_cell_0031",5.39676559241592,-0.451272557440315,-1.14458439938374,-0.19991370057354,-0.968388932420422,"delta"
"human1_lib1.final_cell_0032",6.56263006565852,-1.70853284188908,-1.54502768349511,-0.163193391286964,-0.471349418662312,"delta"
"human1_lib1.final_cell_0033",7.1973680680724,-1.28657006619261,-0.185300778327447,-0.304247253364721,-0.330401137867123,"delta"
"human1_lib1.final_cell_0034",7.62594193930419,-2.00786407788712,0.500912779058209,0.862422638800151,-0.790337943362222,"delta"
"human1_lib1.final_cell_0035",8.08042006241423,-2.33761838571892,0.0792820103215048,-0.286052449940028,-1.39996125663667,"beta"
"human1_lib1.final_cell_0036",-5.46351456904374,11.541231394086,11.8464931972995,2.5236557303191,-0.464720141890523,"acinar"
"human1_lib1.final_cell_0037",8.75832049652819,-3.09820850009181,-2.25458545591963,-0.655965832610483,-0.951424823992249,"beta"
"human1_lib1.final_cell_0038",7.31080564501675,-1.98250304482275,-0.75840447145479,-0.680335735057767,-0.914508086169402,"beta"
"human1_lib1.final_cell_0039",4.61697922214391,-0.666308054988622,-0.353194663785681,-0.0375843388492206,-0.919804380798065,"beta"
"human1_lib1.final_cell_0040",7.40787323450098,-1.5568522628601,-1.24348186181658,-0.429914732981705,-0.78760755594225,"delta"
"human1_lib1.final_cell_0041",-30.546163942385,-32.0583143810764,10.244034747847,-18.740371575639,-2.56909349369263,"activated_stellate"
"human1_lib1.final_cell_0042",9.31990499552403,-2.91071845902984,-1.64978274672707,-0.396950543881106,-1.40762276078974,"beta"
"human1_lib1.final_cell_0043",7.15000871862601,-1.11286529377061,-0.23760833987738,-0.330137927168957,-0.446959285857273,"delta"
"human1_lib1.final_cell_0044",-30.8177224816161,-33.8335095599835,9.72517839670243,-16.2710681933699,-3.761459125136,"activated_stellate"
"human1_lib1.final_cell_0045",-29.0642166123984,-30.1298389879718,9.85754020431119,-17.8724218971235,0.622715266205687,"activated_stellate"
"human1_lib1.final_cell_0046",-27.8710855081936,-29.1114921871025,9.16996365514507,-15.2592649476604,1.31306736927123,"activated_stellate"
"human1_lib1.final_cell_0047",-6.11688042015531,11.3445140883878,12.6291090335768,2.83465452871243,0.553254261243015,"acinar"
"human1_lib1.final_cell_0048",-33.7779115982745,-40.0089448663898,12.1099410922283,-21.749573767945,0.125863677557675,"activated_stellate"
"human1_lib1.final_cell_0049",6.78560452120009,-1.39799089768404,-0.895639198347752,-0.669665306279411,-0.576822560955956,"delta"
"human1_lib1.final_cell_0050",9.01836156776254,-2.52721122673908,-0.769018115972963,-1.17753127273956,-0.563560271186762,"beta"
"human1_lib1.final_cell_0051",7.00303147307378,-0.940293377794727,-1.11756706603286,-0.316336008816262,-0.44047678393992,"delta"
"human1_lib1.final_cell_0052",8.26610934888041,-2.28266222248434,-1.89142857050481,-1.20297931888144,-1.27532448402678,"beta"
